"Other Crops:  Area Planted/Harvested, by Region and by Province, 1990-2018"

"Crop","Geolocation","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Abaca","PHILIPPINES",102494.00,104346.00,102155.00,102164.00,103127.00,105640.56,116300.00,112456.00,106299.00,111384.00,106816.00,107145.00,121940.84,121475.95,127460.97,135965.66,135883.28,136048.73,137519.69,135081.37,135089.83,138990.96,138523.46,138369.35,134773.35,134194.30,134427.24,132462.92,132251.21
"Abaca","..CORDILLERA ADMINISTRATIVE REGION (CAR)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,800.00,800.00,600.00,870.00,870.00,579.00,579.00,550.00,499.00,481.00,430.00,249.00,249.00,..
"Abaca","....Abra",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Abaca","....Apayao",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Abaca","....Benguet",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Abaca","....Ifugao",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Abaca","....Kalinga",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Abaca","....Mountain Province",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,800.00,800.00,600.00,870.00,870.00,579.00,579.00,550.00,499.00,481.00,430.00,249.00,249.00,..
"Abaca","..REGION I (ILOCOS REGION)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.50,0.50,..,..,..,..,..,..,..,..,..,..,..,..
"Abaca","....Ilocos Norte",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.50,0.50,..,..,..,..,..,..,..,..,..,..,..,..
"Abaca","....Ilocos Sur",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Abaca","....La Union",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Abaca","....Pangasinan",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Abaca","..REGION II (CAGAYAN VALLEY)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Abaca","....Batanes",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Abaca","....Cagayan",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Abaca","....Isabela",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Abaca","....Nueva Vizcaya",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Abaca","....Quirino",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Abaca","..REGION III (CENTRAL LUZON)",5.00,2.00,5.00,2.00,11.00,49.00,76.00,84.00,91.00,85.00,85.00,85.00,120.23,191.37,183.87,233.94,434.00,480.00,508.00,510.00,520.00,529.00,534.00,543.00,600.00,605.00,625.00,694.00,694.00
"Abaca","....Aurora",5.00,2.00,5.00,2.00,11.00,49.00,76.00,84.00,91.00,85.00,85.00,85.00,120.23,191.37,183.87,233.94,434.00,480.00,508.00,510.00,520.00,529.00,534.00,543.00,600.00,605.00,625.00,694.00,694.00
"Abaca","....Bataan",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Abaca","....Bulacan",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Abaca","....Nueva Ecija",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Abaca","....Pampanga",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Abaca","....Tarlac",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Abaca","....Zambales",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Abaca","..REGION IV-A (CALABARZON)",52.00,53.00,37.00,38.00,41.00,43.00,38.00,43.00,22.00,22.00,22.00,22.00,26.28,26.00,26.00,26.28,109.00,199.10,294.23,250.17,250.63,345.23,352.23,331.00,331.00,331.00,353.91,354.00,361.67
"Abaca","....Batangas",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Abaca","....Cavite",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Abaca","....Laguna",26.00,26.00,26.00,26.00,26.00,30.00,33.00,36.00,14.00,14.00,14.00,14.00,15.27,15.00,15.00,15.27,14.00,32.10,57.54,57.54,58.00,58.00,58.00,58.00,58.00,58.00,58.00,58.00,65.67
"Abaca","....Quezon",26.00,27.00,11.00,12.00,15.00,13.00,5.00,7.00,8.00,8.00,8.00,8.00,10.01,10.00,10.00,10.01,86.00,167.00,216.00,171.63,171.63,266.23,273.23,273.00,273.00,273.00,295.91,296.00,296.00
"Abaca","....Rizal",..,..,..,..,..,..,..,..,..,..,..,..,1.00,1.00,1.00,1.00,9.00,..,20.69,21.00,21.00,21.00,21.00,..,..,..,..,..,..
"Abaca","..MIMAROPA REGION",738.00,733.00,816.00,825.00,820.00,358.00,191.00,203.00,66.00,80.00,176.00,176.00,405.95,608.40,850.00,1119.10,1134.01,1122.00,1127.00,1172.00,1183.00,1369.00,1409.00,1434.00,1424.00,1422.00,1306.75,1312.00,1123.00
"Abaca","....Marinduque",7.00,5.00,66.00,67.00,67.00,66.00,6.00,8.00,12.00,12.00,11.00,11.00,73.43,109.10,77.00,76.78,76.00,70.00,71.00,71.00,71.00,71.00,71.00,71.00,61.00,50.00,50.00,44.00,45.00
"Abaca","....Occidental Mindoro",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Abaca","....Oriental Mindoro",731.00,728.00,750.00,758.00,753.00,290.00,182.00,189.00,46.00,60.00,157.00,157.00,290.36,415.80,515.00,646.31,662.00,669.00,673.00,681.00,692.00,698.00,698.00,723.00,723.00,732.00,616.75,628.00,628.00
