"Other Crops: Number of Bearing Trees/Hills/Vines, by Region and by Province, 1990-2018"

"Crop","Geolocation","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Cacao","PHILIPPINES",5752940,5656190,5625450,5573917,5592220,5527038,5607133,4743640,4620636,4825678,4694696,4639556,4333714,4098567,4257821,4295279,4129905,4050124,3942957,3926033,3908457,3863221,3826701,3588134,3699114,4490180,4591960,4996312,5676647
"Cacao","..CORDILLERA ADMINISTRATIVE REGION (CAR)",26320,21040,21040,12060,12061,12061,12061,11940,11343,11230,10668,12082,11116,11119,10554,11758,11600,12569,12574,12582,12860,12865,18500,18575,25075,25200,26222,20254,22305
"Cacao","....Abra",9210,7980,7980,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Cacao","....Apayao",..,..,..,..,..,..,..,..,..,..,..,914,914,1015,1015,2400,2700,4800,4800,4800,4800,4800,10200,10500,17000,17000,17250,11322,11979
"Cacao","....Benguet",17110,13060,13060,12060,12061,12061,12061,11940,11343,11230,10668,10668,9702,9604,9039,8858,8650,7389,7389,7389,7500,7500,7500,6875,6875,7000,7000,7000,7000
"Cacao","....Ifugao",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Cacao","....Kalinga",..,..,..,..,..,..,..,..,..,..,..,500,500,500,500,500,250,380,385,393,560,565,800,1200,1200,1200,1380,1340,2500
"Cacao","....Mountain Province",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,592,592,826
"Cacao","..REGION I (ILOCOS REGION)",73850,72030,72030,28740,26741,22111,20111,18111,18361,18361,17869,17869,17869,18118,17907,17623,17733,17521,17521,17613,17865,17429,17385,17385,17398,17361,17564,18123,18271
"Cacao","....Ilocos Norte",2850,2850,2850,2850,2850,3150,3150,3150,3150,3150,3160,3160,3160,3409,3198,3198,3198,3198,3198,3198,3198,3198,3198,3198,3211,3217,3220,3220,3220
"Cacao","....Ilocos Sur",6130,5930,5930,5930,5931,3000,3000,3000,3250,3250,3250,3250,3250,3250,3250,3051,3051,3051,3051,3143,3416,3416,3416,3416,3416,3416,3616,3955,3955
"Cacao","....La Union",4450,3950,3950,3960,3960,3961,3961,3961,3961,3961,3961,3961,3961,3961,3961,3961,4071,4071,4071,4071,4071,4071,4071,4071,4071,4048,4048,4048,4096
"Cacao","....Pangasinan",60420,59300,59300,16000,14000,12000,10000,8000,8000,8000,7498,7498,7498,7498,7498,7413,7413,7201,7201,7201,7180,6744,6700,6700,6700,6680,6680,6900,7000
"Cacao","..REGION II (CAGAYAN VALLEY)",28080,26460,26460,68706,68686,72106,72267,72732,72732,122611,75238,75238,75227,74755,73857,71777,75417,71661,72560,73730,73730,72130,72397,73123,83585,93010,97045,97501,97947
"Cacao","....Batanes",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,80,80,73,73,73,40,45
"Cacao","....Cagayan",7690,7690,7690,21420,21400,21320,21481,21481,21481,21481,21481,21481,21481,21484,20720,20750,24390,24980,25860,26580,26580,26780,27017,28987,38956,39712,43683,43962,43962
"Cacao","....Isabela",18410,16930,16930,31491,31491,34991,34991,34991,34991,84870,34985,34985,34975,34500,34480,32850,32850,32850,32850,33300,33300,31500,31450,31450,31950,32950,32995,33205,33420
"Cacao","....Nueva Vizcaya",1730,1590,1590,11145,11145,11145,11145,11145,11145,11145,13657,13657,13657,13657,13657,13657,13657,9311,9330,9330,9330,9330,9330,8086,8086,15525,15544,15544,15650
"Cacao","....Quirino",250,250,250,4650,4650,4650,4650,5115,5115,5115,5115,5115,5114,5114,5000,4520,4520,4520,4520,4520,4520,4520,4520,4520,4520,4750,4750,4750,4870
"Cacao","..REGION III (CENTRAL LUZON)",6430,5950,5950,6250,4730,4642,4642,3202,3152,3202,3832,3832,4152,13473,13573,15065,20100,19500,19500,19309,20470,21260,21820,22880,23510,23750,50992,51092,57413
"Cacao","....Aurora",2240,2240,2240,2240,2240,2152,2152,2152,2152,2152,2152,2152,2152,11273,11273,12565,17600,17600,18000,18200,19500,20300,21020,22080,22710,22950,49748,49748,55917
"Cacao","....Bataan",1440,1440,1440,1440,1440,1440,1440,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
