"Palay:  Estimated Inorganic Fertilizer Use by Geolocation, Grade and Year by PHILIPPINES, Area Harvested and Year"

"PHILIPPINES","Area Harvested","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Area Applied",64086.29,75510.00,78230.00,87032.00,91887.00,121561.00,85245.00,87071.22,76220.50,108711.62,96310.88,95614.65
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Average Quantity Applied",4.56,4.56,4.73,4.68,4.32,3.67,4.69,5.20,4.99,4.87,5.14,5.83
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Urea",2.57,2.49,2.56,2.77,2.51,2.40,3.11,3.41,3.15,2.78,3.00,3.36
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Ammosul",0.28,0.32,0.36,0.41,0.36,0.17,0.10,0.24,0.06,0.15,0.21,0.23
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Ammophos",0.49,0.51,0.51,0.63,0.50,0.29,0.24,0.25,0.43,0.39,0.38,0.52
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Complete",1.12,1.19,1.25,0.82,0.89,0.78,1.24,1.30,1.36,1.54,1.56,1.72
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Others",0.10,0.05,0.05,0.05,0.05,0.03,..,..,..,0.01,..,..
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Area Harvested",94431.00,100171.00,99375.00,104021.00,118135.00,119816.00,119368.00,117057.00,118779.00,120100.00,119919.00,118476.40
"..REGION I (ILOCOS REGION)","Area Applied",352232.00,361618.56,359553.00,375854.00,373574.00,386565.00,386048.00,393371.00,366676.12,403238.03,399829.76,412183.00
"..REGION I (ILOCOS REGION)","Average Quantity Applied",5.84,6.15,6.04,6.52,6.76,5.55,6.15,5.94,6.21,6.62,6.23,6.49
"..REGION I (ILOCOS REGION)","Urea",2.84,3.04,3.02,2.89,3.34,3.03,3.48,3.17,3.06,3.06,2.95,3.05
"..REGION I (ILOCOS REGION)","Ammosul",0.39,0.60,0.33,0.55,0.66,0.47,0.41,0.47,0.65,0.86,0.64,0.62
"..REGION I (ILOCOS REGION)","Ammophos",0.33,0.30,0.34,0.33,0.29,0.26,0.24,0.33,0.61,0.27,0.37,0.25
"..REGION I (ILOCOS REGION)","Complete",2.21,2.19,2.22,2.70,2.39,1.77,2.02,1.97,1.89,2.42,2.28,2.57
"..REGION I (ILOCOS REGION)","Others",0.08,0.02,0.13,0.05,0.09,0.02,..,..,..,..,..,..
"..REGION I (ILOCOS REGION)","Area Harvested",354360.00,363045.00,362155.00,376426.00,377361.00,388763.00,389339.00,394110.00,392417.00,403169.00,406813.00,412419.00
"..REGION II (CAGAYAN VALLEY)","Area Applied",441565.03,480350.46,464062.62,496748.00,498787.00,534792.00,532618.00,515943.12,550513.00,598870.21,575485.00,624357.41
"..REGION II (CAGAYAN VALLEY)","Average Quantity Applied",4.76,5.07,5.45,5.24,5.49,5.25,5.46,5.32,5.99,5.49,5.85,5.66
