"Palay and Corn: Volume of Production by Ecosystem/Croptype, by Quarter, by Semester, by Region and by Province, 1987-2019 by Ecosystem/Croptype, Geolocation, Year and Period"

"Ecosystem/Croptype","Geolocation","1987 Quarter 1","1987 Quarter 2","1987 Semester 1","1987 Quarter 3","1987 Quarter 4","1987 Semester 2","1987 Annual","1988 Quarter 1","1988 Quarter 2","1988 Semester 1","1988 Quarter 3","1988 Quarter 4","1988 Semester 2","1988 Annual","1989 Quarter 1","1989 Quarter 2","1989 Semester 1","1989 Quarter 3","1989 Quarter 4","1989 Semester 2","1989 Annual","1990 Quarter 1","1990 Quarter 2","1990 Semester 1","1990 Quarter 3","1990 Quarter 4","1990 Semester 2","1990 Annual","1991 Quarter 1","1991 Quarter 2","1991 Semester 1","1991 Quarter 3","1991 Quarter 4","1991 Semester 2","1991 Annual","1992 Quarter 1","1992 Quarter 2","1992 Semester 1","1992 Quarter 3","1992 Quarter 4","1992 Semester 2","1992 Annual","1993 Quarter 1","1993 Quarter 2","1993 Semester 1","1993 Quarter 3","1993 Quarter 4","1993 Semester 2","1993 Annual","1994 Quarter 1","1994 Quarter 2","1994 Semester 1","1994 Quarter 3","1994 Quarter 4","1994 Semester 2","1994 Annual","1995 Quarter 1","1995 Quarter 2","1995 Semester 1","1995 Quarter 3","1995 Quarter 4","1995 Semester 2","1995 Annual","1996 Quarter 1","1996 Quarter 2","1996 Semester 1","1996 Quarter 3","1996 Quarter 4","1996 Semester 2","1996 Annual","1997 Quarter 1","1997 Quarter 2","1997 Semester 1","1997 Quarter 3","1997 Quarter 4","1997 Semester 2","1997 Annual","1998 Quarter 1","1998 Quarter 2","1998 Semester 1","1998 Quarter 3","1998 Quarter 4","1998 Semester 2","1998 Annual","1999 Quarter 1","1999 Quarter 2","1999 Semester 1","1999 Quarter 3","1999 Quarter 4","1999 Semester 2","1999 Annual","2000 Quarter 1","2000 Quarter 2","2000 Semester 1","2000 Quarter 3","2000 Quarter 4","2000 Semester 2","2000 Annual","2001 Quarter 1","2001 Quarter 2","2001 Semester 1","2001 Quarter 3","2001 Quarter 4","2001 Semester 2","2001 Annual","2002 Quarter 1","2002 Quarter 2","2002 Semester 1","2002 Quarter 3","2002 Quarter 4","2002 Semester 2","2002 Annual","2003 Quarter 1","2003 Quarter 2","2003 Semester 1","2003 Quarter 3","2003 Quarter 4","2003 Semester 2","2003 Annual","2004 Quarter 1","2004 Quarter 2","2004 Semester 1","2004 Quarter 3","2004 Quarter 4","2004 Semester 2","2004 Annual","2005 Quarter 1","2005 Quarter 2","2005 Semester 1","2005 Quarter 3","2005 Quarter 4","2005 Semester 2","2005 Annual","2006 Quarter 1","2006 Quarter 2","2006 Semester 1","2006 Quarter 3","2006 Quarter 4","2006 Semester 2","2006 Annual","2007 Quarter 1","2007 Quarter 2","2007 Semester 1","2007 Quarter 3","2007 Quarter 4","2007 Semester 2","2007 Annual","2008 Quarter 1","2008 Quarter 2","2008 Semester 1","2008 Quarter 3","2008 Quarter 4","2008 Semester 2","2008 Annual","2009 Quarter 1","2009 Quarter 2","2009 Semester 1","2009 Quarter 3","2009 Quarter 4","2009 Semester 2","2009 Annual","2010 Quarter 1","2010 Quarter 2","2010 Semester 1","2010 Quarter 3","2010 Quarter 4","2010 Semester 2","2010 Annual","2011 Quarter 1","2011 Quarter 2","2011 Semester 1","2011 Quarter 3","2011 Quarter 4","2011 Semester 2","2011 Annual","2012 Quarter 1","2012 Quarter 2","2012 Semester 1","2012 Quarter 3","2012 Quarter 4","2012 Semester 2","2012 Annual","2013 Quarter 1","2013 Quarter 2","2013 Semester 1","2013 Quarter 3","2013 Quarter 4","2013 Semester 2","2013 Annual","2014 Quarter 1","2014 Quarter 2","2014 Semester 1","2014 Quarter 3","2014 Quarter 4","2014 Semester 2","2014 Annual","2015 Quarter 1","2015 Quarter 2","2015 Semester 1","2015 Quarter 3","2015 Quarter 4","2015 Semester 2","2015 Annual","2016 Quarter 1","2016 Quarter 2","2016 Semester 1","2016 Quarter 3","2016 Quarter 4","2016 Semester 2","2016 Annual","2017 Quarter 1","2017 Quarter 2","2017 Semester 1","2017 Quarter 3","2017 Quarter 4","2017 Semester 2","2017 Annual","2018 Quarter 1","2018 Quarter 2","2018 Semester 1","2018 Quarter 3","2018 Quarter 4","2018 Semester 2","2018 Annual","2019 Quarter 1","2019 Quarter 2","2019 Semester 1","2019 Quarter 3","2019 Quarter 4","2019 Semester 2","2019 Annual"
"White Corn","PHILIPPINES",424996.00,187131.00,612127.00,1063100.00,1089483.00,2152583.00,2764710.00,434839.00,240046.00,674885.00,1294016.00,889977.00,2183993.00,2858878.00,448554.00,270944.00,719498.00,1262045.00,941370.00,2203415.00,2922913.00,366341.00,269389.00,635730.00,1369965.00,959862.00,2329827.00,2965557.00,427505.00,290462.00,717967.00,1233551.00,954173.00,2187724.00,2905691.00,437574.00,207021.00,644595.00,1199069.00,855925.00,2054994.00,2699589.00,448914.00,288423.00,737337.00,1023691.00,866021.00,1889712.00,2627049.00,369125.00,278450.00,647575.00,762217.00,680113.00,1442330.00,2089905.00,367139.00,288702.00,655841.00,751740.00,454842.00,1206582.00,1862423.00,400682.00,278723.00,679405.00,686168.00,517514.00,1203682.00,1883087.00,389843.00,303993.00,693836.00,675045.00,510328.00,1185373.00,1879209.00,259210.00,71850.00,331060.00,803662.00,485743.00,1289405.00,1620465.00,396054.00,258545.00,654599.00,665046.00,504189.00,1169235.00,1823834.00,394139.00,328318.00,722457.00,618470.00,548411.00,1166881.00,1889338.00,394207.00,289826.00,684033.00,705373.00,528248.00,1233621.00,1917654.00,345412.00,305895.00,651307.00,641624.00,503998.00,1145622.00,1796929.00,411185.00,311532.00,722717.00,742855.00,587112.00,1329967.00,2052684.00,496906.00,353325.00,850231.00,788588.00,588611.00,1377199.00,2227430.00,413006.00,311204.00,724210.00,901993.00,625414.00,1527407.00,2251617.00,452618.00,415897.00,868515.00,900183.00,592142.00,1492325.00,2360840.00,534818.00,389524.00,924342.00,976710.00,626581.00,1603291.00,2527633.00,482230.00,404499.00,886729.00,782491.00,585347.00,1367838.00,2254567.00,490491.00,374775.00,865266.00,830365.00,620803.00,1451168.00,2316434.00,453913.00,296830.00,750743.00,848349.00,570011.00,1418360.00,2169103.00,531993.00,345002.00,876995.00,682392.00,590835.00,1273227.00,2150222.00,486399.75,402422.25,888822.00,762621.37,514105.09,1276726.46,2165548.46,466246.97,322152.72,788399.69,791647.82,549043.00,1340690.82,2129090.51,520620.34,285590.43,806210.77,802757.46,653265.80,1456023.26,2262234.03,510844.73,249684.97,760529.70,755856.45,618287.00,1374143.45,2134673.15,356020.82,159298.49,515319.31,890343.63,616844.60,1507188.23,2022507.54,475095.00,268740.75,743835.75,830151.34,530213.90,1360365.24,2104200.99,479266.00,300487.85,779753.85,855111.22,510441.26,1365552.48,2145306.33,445883.51,..,..,..,..,..,..
"White Corn","..CORDILLERA ADMINISTRATIVE REGION (CAR)",4485.00,375.00,4860.00,9535.00,333.00,9868.00,14728.00,3694.00,469.00,4163.00,8638.00,..,8638.00,12801.00,3627.00,288.00,3915.00,8041.00,..,8041.00,11956.00,3301.00,230.00,3531.00,7774.00,..,7774.00,11305.00,3374.00,120.00,3494.00,6354.00,..,6354.00,9848.00,3805.00,85.00,3890.00,6956.00,60.00,7016.00,10906.00,2424.00,81.00,2505.00,7064.00,6.00,7070.00,9575.00,2976.00,86.00,3062.00,7619.00,10.00,7629.00,10691.00,3131.00,29.00,3160.00,8401.00,93.00,8494.00,11654.00,3106.00,23.00,3129.00,7871.00,93.00,7964.00,11093.00,3072.00,27.00,3099.00,10998.00,96.00,11094.00,14193.00,2839.00,4.00,2843.00,14690.00,68.00,14758.00,17601.00,8723.00,231.00,8954.00,14922.00,159.00,15081.00,24035.00,7117.00,238.00,7355.00,13858.00,178.00,14036.00,21391.00,7776.00,730.00,8506.00,12119.00,85.00,12204.00,20710.00,8600.00,621.00,9221.00,12035.00,394.00,12429.00,21650.00,7801.00,712.00,8513.00,11505.00,91.00,11596.00,20109.00,5924.00,1001.00,6925.00,13061.00,1040.00,14101.00,21026.00,7826.00,694.00,8520.00,13976.00,2313.00,16289.00,24809.00,6884.00,752.00,7636.00,14099.00,2318.00,16417.00,24053.00,6612.00,288.00,6900.00,13525.00,1095.00,14620.00,21520.00,3208.00,654.00,3862.00,9826.00,1536.00,11362.00,15224.00,3117.00,920.00,4037.00,11242.00,1409.00,12651.00,16688.00,2575.00,276.00,2851.00,11402.00,1424.00,12826.00,15677.00,3414.00,662.00,4076.00,14805.00,1266.00,16071.00,20147.00,3283.00,257.00,3540.00,15132.00,1673.00,16805.00,20345.00,3221.00,248.00,3469.00,15138.00,1649.00,16787.00,20256.00,3390.00,262.00,3652.00,15470.00,1558.00,17028.00,20680.00,3446.00,216.00,3662.00,14790.00,1419.00,16209.00,19871.00,3046.00,254.00,3300.00,14124.00,569.00,14693.00,17993.00,2471.00,305.00,2776.00,14202.00,910.00,15112.00,17888.00,2317.00,266.00,2583.00,13868.00,222.00,14090.00,16673.00,2205.50,..,..,..,..,..,..
"White Corn","....Abra",725.00,35.00,760.00,6695.00,..,6695.00,7455.00,910.00,90.00,1000.00,6669.00,..,6669.00,7669.00,977.00,..,977.00,5864.00,..,5864.00,6841.00,862.00,..,862.00,5966.00,..,5966.00,6828.00,963.00,..,963.00,5749.00,..,5749.00,6712.00,833.00,..,833.00,5392.00,..,5392.00,6225.00,558.00,..,558.00,5491.00,..,5491.00,6049.00,387.00,..,387.00,5608.00,..,5608.00,5995.00,405.00,..,405.00,5830.00,..,5830.00,6235.00,459.00,..,459.00,5970.00,..,5970.00,6429.00,499.00,..,499.00,6298.00,..,6298.00,6797.00,513.00,..,513.00,6242.00,..,6242.00,6755.00,504.00,..,504.00,7260.00,..,7260.00,7764.00,572.00,..,572.00,8050.00,..,8050.00,8622.00,599.00,..,599.00,6398.00,..,6398.00,6997.00,627.00,..,627.00,7211.00,..,7211.00,7838.00,589.00,..,589.00,6942.00,..,6942.00,7531.00,623.00,..,623.00,6786.00,..,6786.00,7409.00,682.00,..,682.00,7834.00,..,7834.00,8516.00,715.00,..,715.00,9514.00,..,9514.00,10229.00,743.00,..,743.00,9526.00,..,9526.00,10269.00,790.00,..,790.00,7689.00,..,7689.00,8479.00,1705.00,..,1705.00,9145.00,..,9145.00,10850.00,1732.00,..,1732.00,9461.00,..,9461.00,11193.00,1784.00,..,1784.00,13153.00,..,13153.00,14937.00,1828.00,..,1828.00,13432.00,..,13432.00,15260.00,1836.00,..,1836.00,13442.00,..,13442.00,15278.00,1877.00,..,1877.00,13856.00,..,13856.00,15733.00,1867.00,..,1867.00,13466.00,..,13466.00,15333.00,1867.00,..,1867.00,13420.00,..,13420.00,15287.00,1806.00,0.00,1806.00,13591.00,0.00,13591.00,15397.00,1851.00,0.00,1851.00,13451.00,0.00,13451.00,15302.00,1853.00,..,..,..,..,..,..
"White Corn","....Apayao",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,262.00,..,262.00,17.00,..,17.00,279.00,208.00,..,208.00,71.00,37.00,108.00,316.00,162.00,..,162.00,54.00,39.00,93.00,255.00,84.00,..,84.00,52.00,40.00,92.00,176.00,14.00,..,14.00,33.00,28.00,61.00,75.00,271.00,124.00,395.00,393.00,69.00,462.00,857.00,447.00,129.00,576.00,516.00,83.00,599.00,1175.00,158.00,490.00,648.00,124.00,80.00,204.00,852.00,303.00,525.00,828.00,..,80.00,80.00,908.00,303.00,530.00,833.00,24.00,86.00,110.00,943.00,470.00,673.00,1143.00,610.00,1035.00,1645.00,2788.00,481.00,688.00,1169.00,545.00,1118.00,1663.00,2832.00,448.00,746.00,1194.00,600.00,1123.00,1723.00,2917.00,504.00,281.00,785.00,408.00,350.00,758.00,1543.00,466.00,649.00,1115.00,215.00,307.00,522.00,1637.00,173.00,915.00,1088.00,139.00,146.00,285.00,1373.00,165.00,271.00,436.00,202.00,197.00,399.00,835.00,148.00,659.00,807.00,176.00,368.00,544.00,1351.00,218.00,241.00,459.00,195.00,403.00,598.00,1057.00,211.00,214.00,425.00,194.00,378.00,572.00,997.00,224.00,182.00,406.00,182.00,330.00,512.00,918.00,209.00,188.00,397.00,158.00,367.00,525.00,922.00,160.00,250.00,410.00,150.00,280.00,430.00,840.00,132.00,289.00,421.00,152.00,411.00,563.00,984.00,120.00,244.00,364.00,146.00,196.00,342.00,706.00,62.50,..,..,..,..,..,..
"White Corn","....Benguet",..,340.00,340.00,400.00,..,400.00,740.00,..,379.00,379.00,420.00,..,420.00,799.00,..,288.00,288.00,513.00,..,513.00,801.00,..,230.00,230.00,271.00,..,271.00,501.00,..,120.00,120.00,299.00,..,299.00,419.00,..,85.00,85.00,104.00,..,104.00,189.00,..,81.00,81.00,140.00,..,140.00,221.00,..,86.00,86.00,108.00,10.00,118.00,204.00,8.00,29.00,37.00,95.00,9.00,104.00,141.00,6.00,23.00,29.00,105.00,5.00,110.00,139.00,4.00,27.00,31.00,92.00,5.00,97.00,128.00,4.00,4.00,8.00,24.00,4.00,28.00,36.00,4.00,6.00,10.00,40.00,4.00,44.00,54.00,4.00,6.00,10.00,36.00,7.00,43.00,53.00,4.00,6.00,10.00,31.00,5.00,36.00,46.00,4.00,6.00,10.00,31.00,5.00,36.00,46.00,2.00,6.00,8.00,31.00,5.00,36.00,44.00,3.00,6.00,9.00,28.00,5.00,33.00,42.00,3.00,6.00,9.00,31.00,5.00,36.00,45.00,3.00,6.00,9.00,31.00,5.00,36.00,45.00,3.00,7.00,10.00,31.00,3.00,34.00,44.00,..,5.00,5.00,24.00,4.00,28.00,33.00,..,5.00,5.00,24.00,4.00,28.00,33.00,..,5.00,5.00,24.00,4.00,28.00,33.00,..,3.00,3.00,24.00,4.00,28.00,31.00,..,3.00,3.00,24.00,4.00,28.00,31.00,..,3.00,3.00,24.00,6.00,30.00,33.00,..,4.00,4.00,24.00,6.00,30.00,34.00,..,4.00,4.00,24.00,6.00,30.00,34.00,..,4.00,4.00,20.00,6.00,26.00,30.00,..,4.00,4.00,20.00,6.00,26.00,30.00,0.00,4.00,4.00,9.00,6.00,15.00,19.00,10.00,..,..,..,..,..,..
"White Corn","....Ifugao",1520.00,..,1520.00,980.00,248.00,1228.00,2748.00,..,..,..,700.00,..,700.00,700.00,344.00,..,344.00,1170.00,..,1170.00,1514.00,97.00,..,97.00,961.00,..,961.00,1058.00,413.00,..,413.00,107.00,..,107.00,520.00,659.00,..,659.00,825.00,..,825.00,1484.00,479.00,..,479.00,1163.00,..,1163.00,1642.00,845.00,..,845.00,1485.00,..,1485.00,2330.00,672.00,..,672.00,1747.00,..,1747.00,2419.00,752.00,..,752.00,707.00,..,707.00,1459.00,788.00,..,788.00,1651.00,..,1651.00,2439.00,682.00,..,682.00,1671.00,..,1671.00,2353.00,2448.00,..,2448.00,1923.00,..,1923.00,4371.00,2337.00,..,2337.00,2403.00,..,2403.00,4740.00,1553.00,..,1553.00,2274.00,..,2274.00,3827.00,2908.00,..,2908.00,2064.00,309.00,2373.00,5281.00,2863.00,..,2863.00,792.00,..,792.00,3655.00,2512.00,..,2512.00,1945.00,..,1945.00,4457.00,2394.00,..,2394.00,1791.00,..,1791.00,4185.00,3010.00,..,3010.00,1981.00,..,1981.00,4991.00,3157.00,..,3157.00,1823.00,..,1823.00,4980.00,1265.00,..,1265.00,865.00,371.00,1236.00,2501.00,537.00,..,537.00,865.00,371.00,1236.00,1773.00,538.00,..,538.00,618.00,371.00,989.00,1527.00,780.00,..,780.00,615.00,..,615.00,1395.00,779.00,..,779.00,615.00,371.00,986.00,1765.00,759.00,..,759.00,618.00,370.00,988.00,1747.00,842.00,..,842.00,618.00,370.00,988.00,1830.00,842.00,..,842.00,555.00,371.00,926.00,1768.00,615.00,..,615.00,120.00,25.00,145.00,760.00,74.00,0.00,74.00,123.00,25.00,148.00,222.00,74.00,0.00,74.00,186.00,20.00,206.00,280.00,74.00,..,..,..,..,..,..
"White Corn","....Kalinga",780.00,..,780.00,940.00,35.00,975.00,1755.00,1051.00,..,1051.00,231.00,..,231.00,1282.00,847.00,..,847.00,..,..,..,847.00,945.00,..,945.00,31.00,..,31.00,976.00,675.00,..,675.00,13.00,..,13.00,688.00,757.00,..,757.00,57.00,60.00,117.00,874.00,575.00,..,575.00,..,6.00,6.00,581.00,302.00,..,302.00,21.00,..,21.00,323.00,240.00,..,240.00,91.00,47.00,138.00,378.00,187.00,..,187.00,70.00,49.00,119.00,306.00,97.00,..,97.00,67.00,51.00,118.00,215.00,16.00,..,16.00,42.00,36.00,78.00,94.00,310.00,101.00,411.00,496.00,86.00,582.00,993.00,553.00,103.00,656.00,375.00,88.00,463.00,1119.00,420.00,234.00,654.00,108.00,..,108.00,762.00,420.00,90.00,510.00,113.00,..,113.00,623.00,103.00,176.00,279.00,115.00,..,115.00,394.00,..,322.00,322.00,555.00,..,555.00,877.00,616.00,..,616.00,893.00,1190.00,2083.00,2699.00,840.00,..,840.00,916.00,1190.00,2106.00,2946.00,910.00,..,910.00,912.00,742.00,1654.00,2564.00,662.00,..,662.00,753.00,854.00,1607.00,2269.00,702.00,..,702.00,798.00,888.00,1686.00,2388.00,140.00,..,140.00,810.00,852.00,1662.00,1802.00,702.00,..,702.00,588.00,894.00,1482.00,2184.00,458.00,13.00,471.00,567.00,895.00,1462.00,1933.00,415.00,31.00,446.00,571.00,895.00,1466.00,1912.00,447.00,25.00,472.00,536.00,852.00,1388.00,1860.00,528.00,24.00,552.00,497.00,675.00,1172.00,1724.00,404.00,..,404.00,354.00,258.00,612.00,1016.00,459.00,0.00,459.00,251.00,358.00,609.00,1068.00,272.00,0.00,272.00,51.00,0.00,51.00,323.00,206.00,..,..,..,..,..,..
"White Corn","....Mountain Province",1460.00,..,1460.00,520.00,50.00,570.00,2030.00,1733.00,..,1733.00,618.00,..,618.00,2351.00,1459.00,..,1459.00,494.00,..,494.00,1953.00,1397.00,..,1397.00,545.00,..,545.00,1942.00,1323.00,..,1323.00,186.00,..,186.00,1509.00,1556.00,..,1556.00,578.00,..,578.00,2134.00,812.00,..,812.00,270.00,..,270.00,1082.00,1180.00,..,1180.00,380.00,..,380.00,1560.00,1598.00,..,1598.00,567.00,..,567.00,2165.00,1540.00,..,1540.00,965.00,..,965.00,2505.00,1600.00,..,1600.00,2838.00,..,2838.00,4438.00,1610.00,..,1610.00,6678.00,..,6678.00,8288.00,5186.00,..,5186.00,4810.00,..,4810.00,9996.00,3204.00,..,3204.00,2478.00,..,2478.00,5682.00,5042.00,..,5042.00,3184.00,..,3184.00,8226.00,4338.00,..,4338.00,2616.00,..,2616.00,6954.00,3941.00,..,3941.00,3601.00,..,3601.00,7542.00,2316.00,..,2316.00,3137.00,..,3137.00,5453.00,3650.00,..,3650.00,2882.00,..,2882.00,6532.00,1868.00,..,1868.00,1057.00,..,1057.00,2925.00,1295.00,..,1295.00,825.00,..,825.00,2120.00,25.00,..,25.00,280.00,..,280.00,305.00,..,..,..,271.00,..,271.00,271.00,..,..,..,287.00,..,287.00,287.00,..,..,..,249.00,..,249.00,249.00,..,..,..,299.00,..,299.00,299.00,..,..,..,289.00,..,289.00,289.00,..,51.00,51.00,254.00,..,254.00,305.00,..,..,..,90.00,..,90.00,90.00,..,..,..,60.00,..,60.00,60.00,..,12.00,12.00,65.00,110.00,175.00,187.00,0.00,18.00,18.00,25.00,0.00,25.00,43.00,0.00,..,..,..,..,..,..
"White Corn","..REGION I (ILOCOS REGION)",3930.00,1670.00,5600.00,3990.00,223.00,4213.00,9813.00,10868.00,1141.00,12009.00,5149.00,250.00,5399.00,17408.00,8200.00,1195.00,9395.00,4863.00,110.00,4973.00,14368.00,8412.00,1237.00,9649.00,4795.00,38.00,4833.00,14482.00,8829.00,1041.00,9870.00,5833.00,8.00,5841.00,15711.00,11425.00,1037.00,12462.00,5411.00,50.00,5461.00,17923.00,13338.00,830.00,14168.00,5754.00,349.00,6103.00,20271.00,4530.00,1505.00,6035.00,6962.00,439.00,7401.00,13436.00,5584.00,3746.00,9330.00,3648.00,911.00,4559.00,13889.00,6061.00,4966.00,11027.00,4545.00,1521.00,6066.00,17093.00,10870.00,7302.00,18172.00,7897.00,1995.00,9892.00,28064.00,12072.00,8144.00,20216.00,10010.00,2471.00,12481.00,32697.00,13859.00,11516.00,25375.00,12560.00,1775.00,14335.00,39710.00,13080.00,13541.00,26621.00,11101.00,2351.00,13452.00,40073.00,12469.00,14578.00,27047.00,7968.00,2320.00,10288.00,37335.00,15138.00,12647.00,27785.00,10643.00,2868.00,13511.00,41296.00,17665.00,10365.00,28030.00,10317.00,3196.00,13513.00,41543.00,16785.00,11329.00,28114.00,10656.00,3659.00,14315.00,42429.00,19407.00,13799.00,33206.00,12108.00,4159.00,16267.00,49473.00,21036.00,15271.00,36307.00,12317.00,3497.00,15814.00,52121.00,23276.00,15367.00,38643.00,14201.00,4422.00,18623.00,57266.00,23136.00,18037.00,41173.00,12530.00,3674.00,16204.00,57377.00,21506.00,18132.00,39638.00,9844.00,3849.00,13693.00,53331.00,23982.00,13653.00,37635.00,5996.00,3782.00,9778.00,47413.00,25536.00,17836.00,43372.00,5643.00,3738.00,9381.00,52753.00,26307.00,15888.00,42195.00,5155.00,4111.00,9266.00,51461.00,24999.00,17480.00,42479.00,5840.00,4418.00,10258.00,52737.00,26438.00,15658.23,42096.23,5235.00,3763.00,8998.00,51094.23,23269.00,15841.00,39110.00,5176.00,3916.00,9092.00,48202.00,21799.00,15491.00,37290.00,4834.00,3797.00,8631.00,45921.00,24739.00,13809.00,38548.00,4875.00,4294.00,9169.00,47717.00,23767.00,16062.00,39829.00,3955.00,4176.00,8131.00,47960.00,24237.00,..,..,..,..,..,..
"White Corn","....Ilocos Norte",444.00,51.00,495.00,1240.00,..,1240.00,1735.00,379.00,160.00,539.00,845.00,..,845.00,1384.00,433.00,160.00,593.00,..,..,..,593.00,678.00,198.00,876.00,38.00,..,38.00,914.00,558.00,309.00,867.00,148.00,8.00,156.00,1023.00,631.00,488.00,1119.00,167.00,..,167.00,1286.00,702.00,367.00,1069.00,485.00,..,485.00,1554.00,865.00,745.00,1610.00,570.00,40.00,610.00,2220.00,1200.00,1240.00,2440.00,1460.00,380.00,1840.00,4280.00,1280.00,1626.00,2906.00,1822.00,400.00,2222.00,5128.00,2891.00,1834.00,4725.00,2700.00,390.00,3090.00,7815.00,3600.00,1200.00,4800.00,4041.00,342.00,4383.00,9183.00,3696.00,2000.00,5696.00,2970.00,343.00,3313.00,9009.00,2875.00,2556.00,5431.00,3375.00,466.00,3841.00,9272.00,3443.00,2953.00,6396.00,2520.00,439.00,2959.00,9355.00,4912.00,2130.00,7042.00,2800.00,462.00,3262.00,10304.00,5868.00,2246.00,8114.00,2863.00,562.00,3425.00,11539.00,6503.00,2300.00,8803.00,2469.00,765.00,3234.00,12037.00,7706.00,3162.00,10868.00,3224.00,780.00,4004.00,14872.00,8060.00,3214.00,11274.00,2946.00,713.00,3659.00,14933.00,8190.00,2835.00,11025.00,4410.00,651.00,5061.00,16086.00,7643.00,3166.00,10809.00,4438.00,611.00,5049.00,15858.00,8398.00,3543.00,11941.00,4199.00,715.00,4914.00,16855.00,8589.00,2951.00,11540.00,2812.00,716.00,3528.00,15068.00,7710.00,3169.00,10879.00,2451.00,710.00,3161.00,14040.00,7766.00,3390.00,11156.00,2097.00,1037.00,3134.00,14290.00,8908.00,3414.00,12322.00,2316.00,1080.00,3396.00,15718.00,9458.00,2119.00,11577.00,1765.00,615.00,2380.00,13957.00,9809.00,1681.00,11490.00,1366.00,428.00,1794.00,13284.00,9446.00,1366.00,10812.00,1355.00,634.00,1989.00,12801.00,9166.00,1151.00,10317.00,1423.00,618.00,2041.00,12358.00,9194.00,1124.00,10318.00,934.00,697.00,1631.00,11949.00,9435.00,..,..,..,..,..,..
