"Palay and Corn: Volume of Production by Ecosystem/Croptype, by Quarter, by Semester, by Region and by Province, 1987-2019 by Ecosystem/Croptype, Geolocation, Year and Period"

"Ecosystem/Croptype","Geolocation","1987 Quarter 1","1987 Quarter 2","1987 Semester 1","1987 Quarter 3","1987 Quarter 4","1987 Semester 2","1987 Annual","1988 Quarter 1","1988 Quarter 2","1988 Semester 1","1988 Quarter 3","1988 Quarter 4","1988 Semester 2","1988 Annual","1989 Quarter 1","1989 Quarter 2","1989 Semester 1","1989 Quarter 3","1989 Quarter 4","1989 Semester 2","1989 Annual","1990 Quarter 1","1990 Quarter 2","1990 Semester 1","1990 Quarter 3","1990 Quarter 4","1990 Semester 2","1990 Annual","1991 Quarter 1","1991 Quarter 2","1991 Semester 1","1991 Quarter 3","1991 Quarter 4","1991 Semester 2","1991 Annual","1992 Quarter 1","1992 Quarter 2","1992 Semester 1","1992 Quarter 3","1992 Quarter 4","1992 Semester 2","1992 Annual","1993 Quarter 1","1993 Quarter 2","1993 Semester 1","1993 Quarter 3","1993 Quarter 4","1993 Semester 2","1993 Annual","1994 Quarter 1","1994 Quarter 2","1994 Semester 1","1994 Quarter 3","1994 Quarter 4","1994 Semester 2","1994 Annual","1995 Quarter 1","1995 Quarter 2","1995 Semester 1","1995 Quarter 3","1995 Quarter 4","1995 Semester 2","1995 Annual","1996 Quarter 1","1996 Quarter 2","1996 Semester 1","1996 Quarter 3","1996 Quarter 4","1996 Semester 2","1996 Annual","1997 Quarter 1","1997 Quarter 2","1997 Semester 1","1997 Quarter 3","1997 Quarter 4","1997 Semester 2","1997 Annual","1998 Quarter 1","1998 Quarter 2","1998 Semester 1","1998 Quarter 3","1998 Quarter 4","1998 Semester 2","1998 Annual","1999 Quarter 1","1999 Quarter 2","1999 Semester 1","1999 Quarter 3","1999 Quarter 4","1999 Semester 2","1999 Annual","2000 Quarter 1","2000 Quarter 2","2000 Semester 1","2000 Quarter 3","2000 Quarter 4","2000 Semester 2","2000 Annual","2001 Quarter 1","2001 Quarter 2","2001 Semester 1","2001 Quarter 3","2001 Quarter 4","2001 Semester 2","2001 Annual","2002 Quarter 1","2002 Quarter 2","2002 Semester 1","2002 Quarter 3","2002 Quarter 4","2002 Semester 2","2002 Annual","2003 Quarter 1","2003 Quarter 2","2003 Semester 1","2003 Quarter 3","2003 Quarter 4","2003 Semester 2","2003 Annual","2004 Quarter 1","2004 Quarter 2","2004 Semester 1","2004 Quarter 3","2004 Quarter 4","2004 Semester 2","2004 Annual","2005 Quarter 1","2005 Quarter 2","2005 Semester 1","2005 Quarter 3","2005 Quarter 4","2005 Semester 2","2005 Annual","2006 Quarter 1","2006 Quarter 2","2006 Semester 1","2006 Quarter 3","2006 Quarter 4","2006 Semester 2","2006 Annual","2007 Quarter 1","2007 Quarter 2","2007 Semester 1","2007 Quarter 3","2007 Quarter 4","2007 Semester 2","2007 Annual","2008 Quarter 1","2008 Quarter 2","2008 Semester 1","2008 Quarter 3","2008 Quarter 4","2008 Semester 2","2008 Annual","2009 Quarter 1","2009 Quarter 2","2009 Semester 1","2009 Quarter 3","2009 Quarter 4","2009 Semester 2","2009 Annual","2010 Quarter 1","2010 Quarter 2","2010 Semester 1","2010 Quarter 3","2010 Quarter 4","2010 Semester 2","2010 Annual","2011 Quarter 1","2011 Quarter 2","2011 Semester 1","2011 Quarter 3","2011 Quarter 4","2011 Semester 2","2011 Annual","2012 Quarter 1","2012 Quarter 2","2012 Semester 1","2012 Quarter 3","2012 Quarter 4","2012 Semester 2","2012 Annual","2013 Quarter 1","2013 Quarter 2","2013 Semester 1","2013 Quarter 3","2013 Quarter 4","2013 Semester 2","2013 Annual","2014 Quarter 1","2014 Quarter 2","2014 Semester 1","2014 Quarter 3","2014 Quarter 4","2014 Semester 2","2014 Annual","2015 Quarter 1","2015 Quarter 2","2015 Semester 1","2015 Quarter 3","2015 Quarter 4","2015 Semester 2","2015 Annual","2016 Quarter 1","2016 Quarter 2","2016 Semester 1","2016 Quarter 3","2016 Quarter 4","2016 Semester 2","2016 Annual","2017 Quarter 1","2017 Quarter 2","2017 Semester 1","2017 Quarter 3","2017 Quarter 4","2017 Semester 2","2017 Annual","2018 Quarter 1","2018 Quarter 2","2018 Semester 1","2018 Quarter 3","2018 Quarter 4","2018 Semester 2","2018 Annual","2019 Quarter 1","2019 Quarter 2","2019 Semester 1","2019 Quarter 3","2019 Quarter 4","2019 Semester 2","2019 Annual"
"Irrigated Palay","PHILIPPINES",1514038.00,1144237.00,2658275.00,474008.00,2676825.00,3150833.00,5809108.00,1704211.00,1123516.00,2827727.00,815106.00,2462837.00,3277943.00,6105670.00,1695304.00,1347475.00,3042779.00,868104.00,2680935.00,3549039.00,6591818.00,1685775.00,1202782.00,2888557.00,816584.00,2899685.00,3716269.00,6604826.00,1896543.00,1354961.00,3251504.00,803415.00,2776818.00,3580233.00,6831737.00,1825620.00,1067997.00,2893617.00,567910.00,3150205.00,3718115.00,6611732.00,1754002.00,1442272.00,3196274.00,662464.00,2870821.00,3533285.00,6729559.00,1605327.00,1907125.00,3512452.00,1215356.00,2783288.00,3998644.00,7511096.00,1757757.00,1845256.00,3603013.00,1163603.00,2831939.00,3995542.00,7598555.00,1849558.00,2135826.00,3985384.00,1418680.00,2829569.00,4248249.00,8233633.00,1935275.00,2025806.00,3961081.00,1332011.00,3183356.00,4515367.00,8476448.00,1906838.00,1237585.00,3144423.00,963622.00,2573113.00,3536735.00,6681158.00,2329618.00,1999012.00,4328630.00,1586087.00,3003165.00,4589252.00,8917882.00,2213593.00,2296188.00,4509781.00,1735372.00,3167523.00,4902895.00,9412676.00,2155338.00,2453917.00,4609255.00,1736174.00,3444831.00,5181005.00,9790260.00,2371283.00,2311137.00,4682420.00,1405916.00,3860837.00,5266753.00,9949173.00,2457518.00,2094556.00,4552074.00,1705838.00,3992311.00,5698149.00,10250223.00,2746464.00,2266301.00,5012765.00,2010863.00,3918208.00,5929071.00,10941836.00,2719775.00,2375962.00,5095737.00,1884204.00,4253852.00,6138056.00,11233793.00,2837218.00,2535902.00,5373120.00,2217204.00,4004609.00,6221813.00,11594933.00,2893568.00,2685176.00,5578744.00,2313774.00,4376872.00,6690646.00,12269390.00,2883507.00,2923670.00,5807177.00,2500270.00,4248703.00,6748973.00,12556150.00,3035074.00,2945103.00,5980177.00,2423021.00,3680066.00,6103087.00,12083264.00,2739582.00,2794452.00,5534034.00,1937062.00,4521363.00,6458425.00,11992459.00,3123339.00,3027880.00,6151219.00,2121812.00,4085900.00,6207712.00,12358931.00,3030330.00,3344090.03,6374420.03,2492776.00,4529287.27,7022063.27,13396483.30,3331804.00,3231264.43,6563068.43,2371599.00,4888482.00,7260081.00,13823149.43,3337438.95,3528219.20,6865658.15,2283554.65,5256503.35,7540058.00,14405716.15,3470630.90,3451318.44,6921949.34,1919192.00,5096783.00,7015975.00,13937924.34,3154317.40,3325746.98,6480064.38,2177156.00,4882653.00,7059809.00,13539873.38,3407553.00,3601930.90,7009483.90,2436783.00,5111052.00,7547835.00,14557318.90,3581669.00,3516042.00,7097711.00,2295826.44,4954455.97,7250282.41,14347993.41,3465031.58,..,..,..,..,..,..
"Irrigated Palay","..CORDILLERA ADMINISTRATIVE REGION (CAR)",8299.00,54856.00,63155.00,14236.00,67436.00,81672.00,144827.00,25393.00,57222.00,82615.00,20107.00,54461.00,74568.00,157183.00,15364.00,49859.00,65223.00,12162.00,65419.00,77581.00,142804.00,11734.00,42638.00,54372.00,11519.00,81705.00,93224.00,147596.00,11798.00,47644.00,59442.00,14035.00,65525.00,79560.00,139002.00,16512.00,44884.00,61396.00,13466.00,70303.00,83769.00,145165.00,19012.00,42213.00,61225.00,11063.00,83044.00,94107.00,155332.00,19833.00,62369.00,82202.00,16563.00,76488.00,93051.00,175253.00,19665.00,56247.00,75912.00,21437.00,81553.00,102990.00,178902.00,18810.00,72096.00,90906.00,22418.00,82271.00,104689.00,195595.00,20464.00,76328.00,96792.00,25042.00,82708.00,107750.00,204542.00,20805.00,48851.00,69656.00,22653.00,65954.00,88607.00,158263.00,26014.00,69625.00,95639.00,31674.00,78383.00,110057.00,205696.00,44156.00,58373.00,102529.00,29287.00,92503.00,121790.00,224319.00,42013.00,90937.00,132950.00,30934.00,121299.00,152233.00,285183.00,32969.00,90545.00,123514.00,26791.00,126020.00,152811.00,276325.00,27000.00,95278.00,122278.00,28067.00,121790.00,149857.00,272135.00,29962.00,121771.00,151733.00,36707.00,133752.00,170459.00,322192.00,40479.00,109736.00,150215.00,38141.00,132037.00,170178.00,320393.00,45672.00,126118.00,171790.00,41399.00,147901.00,189300.00,361090.00,53994.00,124302.00,178296.00,42843.00,142109.00,184952.00,363248.00,53467.00,131574.00,185041.00,45773.00,141468.00,187241.00,372282.00,52577.00,132533.00,185110.00,47336.00,130395.00,177731.00,362841.00,48318.00,106260.00,154578.00,59441.00,121324.00,180765.00,335343.00,52385.00,127330.00,179715.00,58127.00,126815.00,184942.00,364657.00,54363.00,127242.00,181605.00,61801.00,142552.00,204353.00,385958.00,53933.00,133461.00,187394.00,59099.00,148178.00,207277.00,394671.00,56330.00,135781.00,192111.00,56933.00,140688.00,197621.00,389732.00,56261.00,135677.00,191938.00,55769.00,98140.00,153909.00,345847.00,52005.00,133546.00,185551.00,53686.00,95257.00,148943.00,334494.00,58368.00,148175.00,206543.00,53072.00,129943.00,183015.00,389558.00,58732.00,140522.00,199254.00,51807.68,98223.30,150030.98,349284.98,57135.00,..,..,..,..,..,..
"Irrigated Palay","....Abra",325.00,6595.00,6920.00,131.00,9106.00,9237.00,16157.00,1379.00,5630.00,7009.00,1005.00,8250.00,9255.00,16264.00,2416.00,5738.00,8154.00,1199.00,8070.00,9269.00,17423.00,1711.00,5935.00,7646.00,1134.00,7270.00,8404.00,16050.00,1044.00,6365.00,7409.00,861.00,7756.00,8617.00,16026.00,1563.00,5776.00,7339.00,942.00,5776.00,6718.00,14057.00,1460.00,5212.00,6672.00,1255.00,7594.00,8849.00,15521.00,1243.00,4158.00,5401.00,1193.00,8036.00,9229.00,14630.00,1266.00,5576.00,6842.00,902.00,13892.00,14794.00,21636.00,1039.00,5424.00,6463.00,954.00,19572.00,20526.00,26989.00,1100.00,7212.00,8312.00,1018.00,17856.00,18874.00,27186.00,1055.00,5437.00,6492.00,1000.00,16896.00,17896.00,24388.00,1091.00,7684.00,8775.00,1161.00,23770.00,24931.00,33706.00,1484.00,8584.00,10068.00,1140.00,24200.00,25340.00,35408.00,1484.00,8197.00,9681.00,1194.00,24916.00,26110.00,35791.00,1519.00,8680.00,10199.00,1496.00,23436.00,24932.00,35131.00,1455.00,9193.00,10648.00,1408.00,25402.00,26810.00,37458.00,1504.00,9777.00,11281.00,1464.00,25962.00,27426.00,38707.00,2170.00,10125.00,12295.00,1699.00,26592.00,28291.00,40586.00,2220.00,10758.00,12978.00,1791.00,27866.00,29657.00,42635.00,2268.00,11239.00,13507.00,1924.00,31674.00,33598.00,47105.00,2376.00,11606.00,13982.00,1946.00,32657.00,34603.00,48585.00,5790.00,12202.00,17992.00,2099.00,30585.00,32684.00,50676.00,5805.00,12206.00,18011.00,2224.00,31421.00,33645.00,51656.00,6101.00,12763.00,18864.00,2384.00,32125.00,34509.00,53373.00,6209.00,13316.00,19525.00,2418.00,33276.00,35694.00,55219.00,6311.00,13345.00,19656.00,2503.00,32480.00,34983.00,54639.00,6464.00,13202.00,19666.00,2575.00,30122.00,32697.00,52363.00,6331.00,13304.00,19635.00,2474.00,25211.00,27685.00,47320.00,6278.00,10745.00,17023.00,2517.00,24792.00,27309.00,44332.00,6278.00,12416.00,18694.00,2520.00,26905.00,29425.00,48119.00,6408.00,10492.00,16900.00,2380.00,23665.00,26045.00,42945.00,6452.00,..,..,..,..,..,..
"Irrigated Palay","....Apayao",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2882.00,9235.00,12117.00,1472.00,13801.00,15273.00,27390.00,2347.00,7452.00,9799.00,1006.00,15724.00,16730.00,26529.00,1358.00,10588.00,11946.00,1123.00,14074.00,15197.00,27143.00,1664.00,10982.00,12646.00,1427.00,14655.00,16082.00,28728.00,2191.00,6461.00,8652.00,1075.00,11608.00,12683.00,21335.00,2343.00,9784.00,12127.00,2668.00,11345.00,14013.00,26140.00,5467.00,6980.00,12447.00,1652.00,19681.00,21333.00,33780.00,4942.00,18160.00,23102.00,1319.00,23026.00,24345.00,47447.00,1077.00,21162.00,22239.00,270.00,24830.00,25100.00,47339.00,734.00,25831.00,26565.00,1270.00,22202.00,23472.00,50037.00,4879.00,38366.00,43245.00,1994.00,25797.00,27791.00,71036.00,4502.00,39785.00,44287.00,2346.00,24228.00,26574.00,70861.00,2781.00,42451.00,45232.00,2500.00,30734.00,33234.00,78466.00,4590.00,38075.00,42665.00,2510.00,24513.00,27023.00,69688.00,4501.00,35354.00,39855.00,8445.00,20745.00,29190.00,69045.00,3139.00,37834.00,40973.00,7342.00,21432.00,28774.00,69747.00,5497.00,31611.00,37108.00,8406.00,22201.00,30607.00,67715.00,5490.00,34607.00,40097.00,9169.00,21958.00,31127.00,71224.00,5618.00,35337.00,40955.00,9549.00,25816.00,35365.00,76320.00,5995.00,35545.00,41540.00,7427.00,28622.00,36049.00,77589.00,6121.00,36510.00,42631.00,5178.00,25116.00,30294.00,72925.00,6331.00,36843.00,43174.00,4944.00,23086.00,28030.00,71204.00,6381.00,37761.00,44142.00,4251.00,20348.00,24599.00,68741.00,6222.00,41024.00,47246.00,4261.00,29685.00,33946.00,81192.00,5986.00,39041.00,45027.00,1805.00,16105.86,17910.86,62937.86,5472.00,..,..,..,..,..,..
"Irrigated Palay","....Benguet",105.00,1385.00,1490.00,1969.00,1762.00,3731.00,5221.00,170.00,1730.00,1900.00,1722.00,2067.00,3789.00,5689.00,138.00,2318.00,2456.00,2014.00,2073.00,4087.00,6543.00,220.00,2629.00,2849.00,1453.00,1653.00,3106.00,5955.00,90.00,1923.00,2013.00,1243.00,1950.00,3193.00,5206.00,100.00,3811.00,3911.00,1252.00,2392.00,3644.00,7555.00,105.00,5208.00,5313.00,1262.00,2621.00,3883.00,9196.00,148.00,4181.00,4329.00,1325.00,2917.00,4242.00,8571.00,2330.00,771.00,3101.00,2604.00,1443.00,4047.00,7148.00,2430.00,1064.00,3494.00,2560.00,1831.00,4391.00,7885.00,2382.00,1088.00,3470.00,2847.00,1997.00,4844.00,8314.00,2119.00,734.00,2853.00,2302.00,2000.00,4302.00,7155.00,2654.00,974.00,3628.00,2707.00,2318.00,5025.00,8653.00,3218.00,872.00,4090.00,3111.00,2419.00,5530.00,9620.00,3247.00,938.00,4185.00,3460.00,3050.00,6510.00,10695.00,3549.00,1320.00,4869.00,4088.00,3641.00,7729.00,12598.00,2753.00,1212.00,3965.00,3715.00,3249.00,6964.00,10929.00,3300.00,1478.00,4778.00,3960.00,3801.00,7761.00,12539.00,3660.00,1673.00,5333.00,4107.00,3840.00,7947.00,13280.00,3822.00,1767.00,5589.00,4878.00,3888.00,8766.00,14355.00,4028.00,1768.00,5796.00,4961.00,3954.00,8915.00,14711.00,3709.00,2412.00,6121.00,2208.00,6783.00,8991.00,15112.00,3736.00,2697.00,6433.00,2208.00,5729.00,7937.00,14370.00,3471.00,2289.00,5760.00,3877.00,4206.00,8083.00,13843.00,3404.00,2354.00,5758.00,4045.00,4235.00,8280.00,14038.00,3530.00,2585.00,6115.00,3519.00,4926.00,8445.00,14560.00,3561.00,2583.00,6144.00,3745.00,5406.00,9151.00,15295.00,3878.00,2600.00,6478.00,4584.00,4139.00,8723.00,15201.00,3941.00,2950.00,6891.00,4538.00,4476.00,9014.00,15905.00,3948.00,2691.00,6639.00,4523.00,4426.00,8949.00,15588.00,4790.00,3354.00,8144.00,4730.00,4942.00,9672.00,17816.00,5029.00,3396.00,8425.00,4788.68,4376.00,9164.68,17589.68,4939.00,..,..,..,..,..,..
"Irrigated Palay","....Ifugao",3198.00,12222.00,15420.00,2287.00,8922.00,11209.00,26629.00,9220.00,6904.00,16124.00,2514.00,8354.00,10868.00,26992.00,5412.00,9291.00,14703.00,445.00,12015.00,12460.00,27163.00,1754.00,10163.00,11917.00,381.00,11734.00,12115.00,24032.00,3351.00,9949.00,13300.00,1962.00,3858.00,5820.00,19120.00,7799.00,7916.00,15715.00,847.00,11067.00,11914.00,27629.00,9133.00,6469.00,15602.00,456.00,17992.00,18448.00,34050.00,3300.00,7865.00,11165.00,1074.00,19272.00,20346.00,31511.00,3315.00,12954.00,16269.00,5134.00,13736.00,18870.00,35139.00,6842.00,13643.00,20485.00,5078.00,13744.00,18822.00,39307.00,6750.00,14586.00,21336.00,5526.00,13845.00,19371.00,40707.00,5882.00,10477.00,16359.00,5902.00,7994.00,13896.00,30255.00,9284.00,12666.00,21950.00,7647.00,14288.00,21935.00,43885.00,13284.00,10287.00,23571.00,8273.00,15951.00,24224.00,47795.00,12726.00,5462.00,18188.00,11482.00,15226.00,26708.00,44896.00,13973.00,5437.00,19410.00,8162.00,15364.00,23526.00,42936.00,13044.00,6508.00,19552.00,7967.00,16372.00,24339.00,43891.00,11886.00,6530.00,18416.00,10133.00,18215.00,28348.00,46764.00,12950.00,6306.00,19256.00,10133.00,19485.00,29618.00,48874.00,14629.00,6440.00,21069.00,12581.00,19599.00,32180.00,53249.00,19630.00,6732.00,26362.00,12650.00,19581.00,32231.00,58593.00,16177.00,11893.00,28070.00,13800.00,19808.00,33608.00,61678.00,18750.00,10146.00,28896.00,13490.00,19798.00,33288.00,62184.00,16537.00,7394.00,23931.00,16705.00,17846.00,34551.00,58482.00,16000.00,9838.00,25838.00,16045.00,18319.00,34364.00,60202.00,15560.00,7746.00,23306.00,18657.00,18697.00,37354.00,60660.00,15910.00,11096.00,27006.00,15707.00,18853.00,34560.00,61566.00,16012.00,11166.00,27178.00,15709.00,18376.00,34085.00,61263.00,16012.00,11333.00,27345.00,15709.00,18497.00,34206.00,61551.00,15229.00,10811.00,26040.00,15447.00,17615.00,33062.00,59102.00,15470.00,11094.00,26564.00,15617.00,18410.00,34027.00,60591.00,16395.00,10594.00,26989.00,14255.00,17139.60,31394.60,58383.60,16469.00,..,..,..,..,..,..
"Irrigated Palay","....Kalinga",4125.00,29105.00,33230.00,4746.00,45124.00,49870.00,83100.00,11956.00,38238.00,50194.00,8967.00,33910.00,42877.00,93071.00,4324.00,30696.00,35020.00,1700.00,41283.00,42983.00,78003.00,5656.00,22113.00,27769.00,1648.00,58957.00,60605.00,88374.00,4005.00,25784.00,29789.00,2982.00,49688.00,52670.00,82459.00,4325.00,24548.00,28873.00,3197.00,48723.00,51920.00,80793.00,6124.00,22598.00,28722.00,2010.00,53067.00,55077.00,83799.00,9585.00,35010.00,44595.00,4544.00,31502.00,36046.00,80641.00,7806.00,28252.00,36058.00,3106.00,35890.00,38996.00,75054.00,4517.00,40140.00,44657.00,3466.00,32125.00,35591.00,80248.00,5536.00,41634.00,47170.00,4402.00,33450.00,37852.00,85022.00,7289.00,24494.00,31783.00,3316.00,26496.00,29812.00,61595.00,7996.00,37094.00,45090.00,8233.00,25895.00,34128.00,79218.00,18306.00,30178.00,48484.00,5553.00,28298.00,33851.00,82335.00,16454.00,56570.00,73024.00,3789.00,53666.00,57455.00,130479.00,9908.00,52584.00,62492.00,2346.00,57195.00,59541.00,122033.00,6229.00,51146.00,57375.00,3204.00,53041.00,56245.00,113620.00,5240.00,64080.00,69320.00,7504.00,57840.00,65344.00,134664.00,13920.00,49920.00,63840.00,8586.00,55755.00,64341.00,128181.00,19046.00,63029.00,82075.00,6914.00,63624.00,70538.00,152613.00,20295.00,64958.00,85253.00,7760.00,60876.00,68636.00,153889.00,25181.00,67285.00,92466.00,8860.00,60098.00,68958.00,161424.00,19726.00,67631.00,87357.00,10675.00,51718.00,62393.00,149750.00,16283.00,51168.00,67451.00,16899.00,45261.00,62160.00,129611.00,20762.00,65782.00,86544.00,15184.00,49292.00,64476.00,151020.00,22810.00,66148.00,88958.00,16414.00,58589.00,75003.00,163961.00,21774.00,68663.00,90437.00,16900.00,61279.00,78179.00,168616.00,23664.00,70317.00,93981.00,15956.00,61276.00,77232.00,171213.00,23447.00,69086.00,92533.00,18366.00,25564.00,43930.00,136463.00,19987.00,69402.00,89389.00,17279.00,26897.00,44176.00,133565.00,25445.00,77905.00,103350.00,16290.00,48209.00,64499.00,167849.00,24752.00,74565.00,99317.00,18485.00,35331.00,53816.00,153133.00,23640.00,..,..,..,..,..,..
"Irrigated Palay","....Mountain Province",546.00,5549.00,6095.00,5103.00,2522.00,7625.00,13720.00,2668.00,4720.00,7388.00,5899.00,1880.00,7779.00,15167.00,3074.00,1816.00,4890.00,6804.00,1978.00,8782.00,13672.00,2393.00,1798.00,4191.00,6903.00,2091.00,8994.00,13185.00,3308.00,3623.00,6931.00,6987.00,2273.00,9260.00,16191.00,2725.00,2833.00,5558.00,7228.00,2345.00,9573.00,15131.00,2190.00,2726.00,4916.00,6080.00,1770.00,7850.00,12766.00,2675.00,1920.00,4595.00,6955.00,960.00,7915.00,12510.00,2601.00,1242.00,3843.00,8685.00,868.00,9553.00,13396.00,2624.00,1237.00,3861.00,9237.00,925.00,10162.00,14023.00,3032.00,826.00,3858.00,9822.00,905.00,10727.00,14585.00,2269.00,1248.00,3517.00,9058.00,960.00,10018.00,13535.00,2646.00,1423.00,4069.00,9258.00,767.00,10025.00,14094.00,2397.00,1472.00,3869.00,9558.00,1954.00,11512.00,15381.00,3160.00,1610.00,4770.00,9690.00,1415.00,11105.00,15875.00,2943.00,1362.00,4305.00,10429.00,1554.00,11983.00,16288.00,2785.00,1388.00,4173.00,10503.00,1524.00,12027.00,16200.00,3153.00,1540.00,4693.00,11652.00,2137.00,13789.00,18482.00,3277.00,1927.00,5204.00,11270.00,2137.00,13407.00,18611.00,3174.00,1673.00,4847.00,12735.00,2190.00,14925.00,19772.00,3183.00,1530.00,4713.00,13038.00,1511.00,14549.00,19262.00,1523.00,3024.00,4547.00,10514.00,1377.00,11891.00,16438.00,1436.00,2023.00,3459.00,11522.00,1133.00,12655.00,16114.00,725.00,1592.00,2317.00,11330.00,389.00,11719.00,14036.00,628.00,1986.00,2614.00,11300.00,886.00,12186.00,14800.00,636.00,2110.00,2746.00,11244.00,1248.00,12492.00,15238.00,382.00,2229.00,2611.00,12817.00,1538.00,14355.00,16966.00,191.00,1986.00,2177.00,12931.00,1659.00,14590.00,16767.00,199.00,2161.00,2360.00,9738.00,1306.00,11044.00,13404.00,182.00,2136.00,2318.00,9669.00,1179.00,10848.00,13166.00,163.00,2382.00,2545.00,9654.00,1792.00,11446.00,13991.00,162.00,2434.00,2596.00,10094.00,1605.84,11699.84,14295.84,163.00,..,..,..,..,..,..
"Irrigated Palay","..REGION I (ILOCOS REGION)",91932.00,46413.00,138345.00,4424.00,318416.00,322840.00,461185.00,98266.00,42429.00,140695.00,12536.00,325858.00,338394.00,479089.00,101273.00,39740.00,141013.00,13704.00,284383.00,298087.00,439100.00,102215.00,37445.00,139660.00,13502.00,323851.00,337353.00,477013.00,119426.00,27957.00,147383.00,4767.00,366042.00,370809.00,518192.00,87662.00,34591.00,122253.00,3563.00,329202.00,332765.00,455018.00,86247.00,40659.00,126906.00,4775.00,348115.00,352890.00,479796.00,108541.00,47834.00,156375.00,21191.00,357697.00,378888.00,535263.00,92529.00,51984.00,144513.00,28776.00,365028.00,393804.00,538317.00,135745.00,56614.00,192359.00,49663.00,417165.00,466828.00,659187.00,172218.00,45152.00,217370.00,60990.00,455680.00,516670.00,734040.00,136898.00,29351.00,166249.00,51516.00,380045.00,431561.00,597810.00,214018.00,44511.00,258529.00,91600.00,453717.00,545317.00,803846.00,185215.00,68461.00,253676.00,82150.00,517037.00,599187.00,852863.00,196722.00,72749.00,269471.00,88197.00,511210.00,599407.00,868878.00,184156.00,53718.00,237874.00,65490.00,551234.00,616724.00,854598.00,190529.00,48138.00,238667.00,79137.00,591108.00,670245.00,908912.00,213241.00,56075.00,269316.00,83257.00,581741.00,664998.00,934314.00,202198.00,63132.00,265330.00,95994.00,621544.00,717538.00,982868.00,214253.00,68745.00,282998.00,101876.00,660889.00,762765.00,1045763.00,193037.00,91209.00,284246.00,90593.00,703190.00,793783.00,1078029.00,213396.00,96234.00,309630.00,105436.00,698561.00,803997.00,1113627.00,237076.00,113368.00,350444.00,118684.00,459936.00,578620.00,929064.00,262053.00,100461.00,362514.00,109578.00,636201.00,745779.00,1108293.00,278980.00,112919.00,391899.00,97898.00,654451.00,752349.00,1144248.00,311692.00,125673.00,437365.00,112300.00,695990.00,808290.00,1245655.00,304800.00,124165.00,428965.00,102304.00,738768.00,841072.00,1270037.00,314274.00,142898.00,457172.00,107841.00,740451.00,848292.00,1305464.00,325964.00,140993.00,466957.00,86447.00,737171.00,823618.00,1290575.00,315544.00,140174.00,455718.00,123984.00,725491.00,849475.00,1305193.00,331323.00,159542.00,490865.00,140794.00,728545.00,869339.00,1360204.00,328028.00,160879.00,488907.00,129692.00,636634.52,766326.52,1255233.52,328555.00,..,..,..,..,..,..
"Irrigated Palay","....Ilocos Norte",11890.00,8440.00,20330.00,1430.00,36046.00,37476.00,57806.00,10487.00,14480.00,24967.00,2845.00,52632.00,55477.00,80444.00,11553.00,12799.00,24352.00,1996.00,40832.00,42828.00,67180.00,10432.00,13196.00,23628.00,2158.00,44999.00,47157.00,70785.00,18017.00,8347.00,26364.00,465.00,60926.00,61391.00,87755.00,13268.00,11814.00,25082.00,933.00,48144.00,49077.00,74159.00,7353.00,5836.00,13189.00,1180.00,58723.00,59903.00,73092.00,15278.00,3330.00,18608.00,9975.00,62104.00,72079.00,90687.00,12702.00,3690.00,16392.00,11209.00,74613.00,85822.00,102214.00,15273.00,3301.00,18574.00,15436.00,101013.00,116449.00,135023.00,22982.00,3172.00,26154.00,21126.00,105721.00,126847.00,153001.00,19913.00,4422.00,24335.00,23555.00,100181.00,123736.00,148071.00,39235.00,6220.00,45455.00,33824.00,96701.00,130525.00,175980.00,37902.00,6560.00,44462.00,29412.00,117010.00,146422.00,190884.00,37000.00,7455.00,44455.00,28283.00,111228.00,139511.00,183966.00,39456.00,4055.00,43511.00,31898.00,116932.00,148830.00,192341.00,41515.00,2178.00,43693.00,32357.00,126056.00,158413.00,202106.00,47548.00,2981.00,50529.00,30301.00,120335.00,150636.00,201165.00,38502.00,4380.00,42882.00,31025.00,145514.00,176539.00,219421.00,42456.00,4462.00,46918.00,30304.00,155928.00,186232.00,233150.00,42452.00,3666.00,46118.00,35304.00,152763.00,188067.00,234185.00,45065.00,4677.00,49742.00,36214.00,163236.00,199450.00,249192.00,44766.00,9818.00,54584.00,38389.00,123715.00,162104.00,216688.00,49060.00,8741.00,57801.00,37764.00,156240.00,194004.00,251805.00,51789.00,8545.00,60334.00,39075.00,157712.00,196787.00,257121.00,49988.00,10892.00,60880.00,39555.00,163636.00,203191.00,264071.00,54143.00,10459.00,64602.00,40153.00,163351.00,203504.00,268106.00,53780.00,11953.00,65733.00,33940.00,161264.00,195204.00,260937.00,52104.00,14171.00,66275.00,34508.00,165668.00,200176.00,266451.00,43158.00,22845.00,66003.00,34582.00,161307.00,195889.00,261892.00,47549.00,21912.00,69461.00,34343.00,175667.00,210010.00,279471.00,46095.00,25827.00,71922.00,29034.00,135421.00,164455.00,236377.00,46743.00,..,..,..,..,..,..
