"Other Crops: Volume of Production, by Region and by Province, 1990-2018"

"Crop","Geolocation","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Pineapple","PHILIPPINES",1421662.90,1345598.71,1516685.26,1571810.90,1612326.61,1646267.71,1635744.33,1616113.02,1575145.12,1565877.59,1559563.08,1617905.83,1639160.61,1697951.79,1759812.90,1788217.87,1833907.84,2016462.47,2209336.49,2198497.33,2169232.95,2246805.89,2397745.07,2458528.14,2507098.39,2582698.92,2612474.02,2671710.80,2730984.64
"Pineapple","..CORDILLERA ADMINISTRATIVE REGION (CAR)",701.28,709.72,687.95,793.21,798.62,654.82,743.70,917.71,951.08,970.40,993.54,1120.34,1019.85,970.99,770.92,701.16,709.04,687.96,711.24,715.66,682.56,687.23,711.52,770.61,804.69,813.87,831.06,750.28,749.30
"Pineapple","....Abra",45.26,46.18,46.65,47.60,47.61,47.00,50.96,50.60,52.12,53.16,54.22,55.85,56.10,56.27,57.16,51.68,48.34,49.87,50.28,51.34,52.40,51.20,51.80,52.84,68.00,72.00,70.00,71.26,70.18
"Pineapple","....Apayao",..,..,..,..,..,..,..,263.34,282.06,307.08,333.85,400.62,369.00,381.69,220.00,215.00,228.00,241.00,282.00,298.00,273.00,284.00,320.00,385.00,406.00,425.00,463.43,383.80,383.75
"Pineapple","....Benguet",328.13,302.86,285.80,379.48,374.44,230.85,286.27,272.19,273.59,261.75,256.29,253.73,249.27,243.91,239.66,235.40,227.30,220.97,215.27,213.11,209.73,208.70,195.77,197.99,201.95,198.62,184.50,189.74,191.34
"Pineapple","....Ifugao",62.40,51.68,41.00,43.31,45.27,43.68,45.08,46.26,44.52,43.35,44.11,45.25,46.86,47.31,47.74,48.13,49.20,50.40,55.17,57.29,55.04,56.47,58.80,54.75,57.72,59.53,58.88,66.07,66.77
"Pineapple","....Kalinga",150.00,188.00,188.00,190.83,199.31,195.79,218.39,37.83,40.29,35.57,35.57,36.70,37.83,39.71,40.74,41.75,44.00,44.85,38.00,35.80,34.00,35.60,38.75,34.50,30.50,29.25,22.75,8.65,7.50
"Pineapple","....Mountain Province",115.50,121.00,126.50,132.00,132.00,137.50,143.00,247.50,258.50,269.50,269.50,328.18,260.79,202.10,165.62,109.20,112.20,80.87,70.52,60.12,58.39,51.26,46.40,45.53,40.52,29.47,31.50,30.76,29.77
"Pineapple","..REGION I (ILOCOS REGION)",369.92,339.65,320.79,319.76,322.59,333.16,299.11,257.96,248.58,255.72,247.06,252.67,246.60,225.16,218.51,214.55,219.39,202.19,206.03,195.45,195.30,197.15,200.20,196.17,198.55,197.32,227.60,228.92,220.73
"Pineapple","....Ilocos Norte",122.40,118.00,108.00,109.16,111.99,112.00,94.50,89.24,87.86,95.00,99.75,104.17,99.42,97.18,94.54,92.73,94.72,89.21,86.37,70.18,63.64,65.04,65.07,64.59,67.97,68.32,68.23,69.52,66.76
"Pineapple","....Ilocos Sur",35.52,29.65,17.79,11.90,11.90,21.45,22.55,22.80,22.80,23.80,23.90,24.00,29.10,24.15,23.05,25.59,27.48,26.29,27.62,28.86,27.91,28.79,30.37,30.09,28.07,27.34,29.29,31.09,28.67
"Pineapple","....La Union",36.00,56.00,50.00,49.70,49.71,49.71,52.06,47.92,47.92,47.93,48.41,53.25,50.64,49.32,50.48,51.02,54.80,46.89,54.57,59.25,65.69,66.99,68.68,66.76,68.57,71.29,102.13,101.25,99.16
"Pineapple","....Pangasinan",176.00,136.00,145.00,149.00,149.00,150.00,130.00,98.00,90.00,89.00,75.00,71.25,67.44,54.52,50.45,45.21,42.39,39.80,37.46,37.16,38.06,36.33,36.08,34.73,33.93,30.36,27.94,27.07,26.15
"Pineapple","..REGION II (CAGAYAN VALLEY)",4814.26,5397.09,5069.07,5086.20,6785.77,10735.84,14167.82,12291.32,11124.54,14913.70,17814.64,18328.21,19659.22,21840.19,22687.47,21060.09,23983.24,28630.35,30815.04,32574.03,29375.27,26702.69,28342.25,31247.03,33842.39,35128.75,34821.09,34983.53,38778.01
"Pineapple","....Batanes",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,117.50,106.24,68.18,23.41,14.25,4.85,5.00
"Pineapple","....Cagayan",1009.50,1102.81,1128.60,1140.00,1551.00,1385.50,2964.00,3103.78,3343.43,4460.53,6618.39,6914.00,7214.81,7387.77,7893.25,7072.07,8283.77,9112.43,10100.17,10311.18,10909.58,7937.72,11354.85,12940.94,15816.23,15223.01,16109.80,16438.20,16524.44
"Pineapple","....Isabela",518.20,482.00,473.72,475.32,881.67,883.64,1300.70,1720.00,1680.00,1606.68,1546.88,1566.09,1485.01,1428.92,1960.00,3126.91,4473.47,7218.92,8479.64,10093.05,8404.21,8892.63,7399.35,7919.37,9371.38,9398.20,8743.53,7830.59,9173.27
"Pineapple","....Nueva Vizcaya",3277.92,3795.48,3450.44,3455.28,4319.10,8433.11,9869.91,7417.14,6061.91,8800.89,9604.25,9803.45,10918.90,12984.50,12794.62,10823.61,11146.00,12203.00,12123.23,12049.40,9968.98,9765.00,9384.55,10181.98,8491.60,10396.88,9887.37,10634.18,13000.62
"Pineapple","....Quirino",8.64,16.80,16.32,15.60,34.00,33.60,33.20,50.40,39.20,45.60,45.12,44.67,40.50,39.00,39.60,37.50,80.00,96.00,112.00,120.40,92.50,107.34,86.00,98.50,95.00,87.25,66.14,75.70,74.68
"Pineapple","..REGION III (CENTRAL LUZON)",211.30,537.00,1074.33,1061.76,988.51,823.49,755.28,482.20,599.82,762.80,954.16,976.17,862.53,621.50,1081.61,1057.57,1248.25,1291.50,1363.10,1406.14,1451.70,1438.57,1463.23,1456.90,1619.85,1656.51,1629.28,1771.54,1856.41
"Pineapple","....Aurora",116.30,117.00,124.33,131.76,138.51,163.49,192.23,182.20,189.82,232.80,254.16,273.67,301.03,316.07,330.00,351.00,370.00,380.00,425.00,443.00,468.00,478.50,483.30,494.00,648.75,662.40,646.95,852.10,933.61
"Pineapple","....Bataan",..,..,..,..,..,..,..,..,..,..,..,..,..,14.00,420.16,508.00,506.25,506.00,496.10,485.00,486.20,455.00,460.00,450.00,448.00,434.60,418.00,368.33,372.55
"Pineapple","....Bulacan",95.00,420.00,950.00,930.00,850.00,660.00,563.05,300.00,270.00,280.00,360.00,300.00,160.00,200.00,250.00,125.00,300.00,335.00,368.00,406.00,410.00,426.00,442.00,460.00,470.00,507.00,509.00,509.85,511.80
"Pineapple","....Nueva Ecija",..,..,..,..,..,..,..,..,..,..,..,2.50,1.50,1.40,1.45,1.57,1.50,2.00,2.00,2.00,2.00,1.97,1.93,1.90,1.85,1.80,1.77,..,..
"Pineapple","....Pampanga",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Pineapple","....Tarlac",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Pineapple","....Zambales",..,..,..,..,..,..,..,..,140.00,250.00,340.00,400.00,400.00,90.02,80.00,72.00,70.50,68.50,72.00,70.14,85.50,77.10,76.00,51.00,51.25,50.71,53.56,41.26,38.45
"Pineapple","..REGION IV-A (CALABARZON)",40736.20,62107.16,66117.84,65349.22,67477.21,65659.92,71275.02,68305.71,66200.33,69249.30,67388.08,74812.08,79914.91,84883.60,81578.28,80871.19,82459.34,84048.52,86168.15,88375.07,87561.18,86178.21,86388.55,88238.66,85448.05,88659.84,92514.29,97696.25,94033.69
