"Other Crops: Volume of Production, by Region and by Province, 1990-2018"

"Crop","Geolocation","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Abaca","PHILIPPINES",59418.00,63990.83,62684.00,59516.83,66410.00,64833.00,70431.00,67110.00,71217.00,73125.24,77179.86,72860.79,63027.54,69764.72,74464.86,74014.00,69801.60,66437.23,68385.77,65825.41,66511.75,68612.68,68510.46,64951.60,68052.98,70356.41,71839.75,68841.47,71515.96
"Abaca","..CORDILLERA ADMINISTRATIVE REGION (CAR)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.98,13.50,14.05,13.07,13.34,13.37,13.08,13.20,13.03,11.24,..,..,..,..
"Abaca","....Abra",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Abaca","....Apayao",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Abaca","....Benguet",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Abaca","....Ifugao",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Abaca","....Kalinga",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Abaca","....Mountain Province",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.98,13.50,14.05,13.07,13.34,13.37,13.08,13.20,13.03,11.24,..,..,..,..
"Abaca","..REGION I (ILOCOS REGION)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Abaca","....Ilocos Norte",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Abaca","....Ilocos Sur",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Abaca","....La Union",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Abaca","....Pangasinan",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Abaca","..REGION II (CAGAYAN VALLEY)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Abaca","....Batanes",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Abaca","....Cagayan",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Abaca","....Isabela",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Abaca","....Nueva Vizcaya",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Abaca","....Quirino",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Abaca","..REGION III (CENTRAL LUZON)",..,..,1.00,1.00,1.00,4.00,26.00,12.00,17.00,15.00,3.56,3.35,9.90,6.22,12.75,30.62,47.87,52.50,79.50,99.50,109.00,110.59,126.00,113.25,95.20,101.70,54.13,55.63,56.24
"Abaca","....Aurora",..,..,1.00,1.00,1.00,4.00,26.00,12.00,17.00,15.00,3.56,3.35,9.90,6.22,12.75,30.62,47.87,52.50,79.50,99.50,109.00,110.59,126.00,113.25,95.20,101.70,54.13,55.63,56.24
"Abaca","....Bataan",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Abaca","....Bulacan",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Abaca","....Nueva Ecija",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Abaca","....Pampanga",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Abaca","....Tarlac",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Abaca","....Zambales",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Abaca","..REGION IV-A (CALABARZON)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,36.96,51.85,24.37,21.43,2.19,3.90,10.90,15.07,2.31,4.14,8.55,9.19,7.54
"Abaca","....Batangas",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Abaca","....Cavite",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Abaca","....Laguna",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.28,0.50,3.06,2.10,2.06,2.55,2.77,2.85,2.31,2.13,3.67,3.80,3.79
"Abaca","....Quezon",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,36.68,51.35,21.10,19.00,0.14,1.35,8.13,12.22,..,2.01,4.88,5.39,3.75
"Abaca","....Rizal",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.21,0.33,..,..,..,..,..,..,..,..,..
"Abaca","..MIMAROPA REGION",54.00,52.00,63.00,83.00,85.00,54.00,59.00,52.00,34.00,51.00,43.39,40.79,37.30,35.15,37.61,55.11,66.89,69.47,71.79,73.85,76.65,88.70,106.24,120.98,149.26,112.85,105.93,116.58,121.75
"Abaca","....Marinduque",7.00,3.00,3.00,3.00,3.00,2.00,1.00,2.00,2.00,2.00,2.09,1.97,3.90,4.92,5.61,2.86,5.94,5.88,6.36,3.27,3.54,3.60,3.74,3.66,2.53,1.83,1.90,1.65,1.40
"Abaca","....Occidental Mindoro",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Abaca","....Oriental Mindoro",47.00,49.00,60.00,80.00,82.00,52.00,58.00,50.00,32.00,49.00,41.30,38.83,32.10,26.35,28.70,49.77,56.06,55.19,55.16,56.56,62.56,67.56,72.65,75.92,89.74,79.64,66.16,71.31,80.25
