"Functional Literacy Rate of the Population 10-64 Years Old"

"Geolocation","2003 Both Sexes","2003 Male","2003 Female","2008 Both Sexes","2008 Male","2008 Female","2013 Both Sexes","2013 Male","2013 Female"
"PHILIPPINES",84.1,81.9,86.3,86.4,84.2,88.7,90.3,88.7,92.0
"..National Capital Region (NCR)",94.6,94.0,95.2,94.0,93.1,94.8,95.3,94.6,96.0
"..Cordillera Administrative Region (CAR)",85.4,83.9,87.0,89.2,87.8,90.5,91.2,89.7,92.9
"..Region I (Ilocos Region)",88.6,88.1,89.2,91.3,90.3,92.2,93.0,91.2,95.0
"..Region II (Cagaayan Valley)",84.4,82.9,86.1,86.1,83.7,88.5,97.2,96.4,98.0
"..Region III (Central Luzon)",86.9,86.5,87.4,92.1,90.4,93.8,92.3,91.0,93.6
"..Region IV-A (CALABARZON)",90.4,88.8,92.0,93.5,91.9,95.1,95.0,93.7,96.2
"..MIMAROPA Region",82.3,80.2,84.4,83.9,81.2,86.8,86.9,85.3,88.6
"..Region V (Bicol Region)",80.1,76.6,83.8,79.9,76.2,83.8,87.1,83.9,90.5
"..Region VI (Western Visayas)",81.5,77.7,85.2,82.6,78.8,86.6,84.8,83.3,86.4
"..Region VII (Central Visayas)",81.7,79.8,83.6,86.6,84.4,88.8,87.3,84.8,89.8
"..Region VIII (Eastern Visayas)",76.7,71.7,82.1,72.9,67.8,78.2,..,..,..
"..Region IX (Zamboanga Peninsula)",74.8,69.8,79.8,79.6,77.6,81.5,87.5,85.2,89.8
"..Region X (Nothern Mindanao)",83.7,80.5,86.9,85.9,83.5,88.4,94.0,92.6,95.5
"..Region XI (Davao Region)",77.8,73.7,82.2,81.7,79.7,83.8,86.0,83.8,88.3
"..Region XII (SOCCSKSARGEN)",77.1,74.5,79.7,78.3,75.4,81.3,82.5,81.0,84.0
"..Region XIII (Caraga)",81.0,77.3,84.6,85.7,81.8,89.8,91.9,90.4,93.6
"..Autonomous Region in Muslim Mindanao (ARMM)",62.9,63.6,62.1,71.6,70.8,72.4,72.1,69.8,74.2
