"Net Enrolment Ratio in Public and Private Schools"

"Level","Geolocation","2010 Both Sexes","2010 Male","2010 Female","2011 Both Sexes","2011 Male","2011 Female","2012 Both Sexes","2012 Male","2012 Female","2013 Both Sexes","2013 Male","2013 Female","2014 Both Sexes","2014 Male","2014 Female","2015 Both Sexes","2015 Male","2015 Female"
"Elementary","PHILIPPINES",95.92,94.47,97.47,97.32,96.02,98.72,95.24,94.25,96.30,93.80,93.00,94.65,92.57,91.76,93.42,91.05,90.20,91.96
"Elementary","..National Capital Region (NCR)",96.90,95.23,98.70,98.44,96.69,100.32,95.64,94.14,97.26,92.54,91.31,93.86,89.67,88.30,91.15,88.13,86.49,89.90
"Elementary","..Cordillera Administrative Region (CAR)",97.64,96.73,98.61,100.15,99.25,101.12,97.82,97.12,98.58,95.51,95.09,95.97,94.53,93.81,95.29,92.18,91.36,93.05
"Elementary","..Region I (Ilocos Region)",98.32,97.53,99.17,98.97,98.26,99.74,97.44,97.07,97.85,96.81,96.62,97.02,96.84,96.77,96.92,95.39,95.17,95.62
"Elementary","..Region II (Cagaayan Valley)",95.34,94.31,96.45,97.14,96.10,98.26,97.06,96.30,97.88,96.49,95.91,97.12,96.32,95.53,97.18,96.31,95.49,97.19
"Elementary","..Region III (Central Luzon)",98.04,96.80,99.38,98.87,97.79,100.03,96.87,96.00,97.80,96.22,95.64,96.85,95.64,94.90,96.44,93.85,93.00,94.77
"Elementary","..Region IV-A (CALABARZON)",93.94,92.76,95.20,95.96,94.97,97.03,95.02,94.26,95.83,92.47,91.66,93.33,92.03,91.32,92.78,89.94,89.12,90.83
"Elementary","..MIMAROPA Region",95.04,93.91,96.26,97.56,96.75,98.43,95.30,94.69,95.96,93.52,93.23,93.83,92.33,91.90,92.78,92.25,91.67,92.85
"Elementary","..Region V (Bicol Region)",97.19,96.43,98.00,98.59,98.05,99.17,96.82,96.46,97.21,95.50,95.25,95.76,94.02,93.57,94.49,91.09,90.75,91.45
"Elementary","..Region VI (Western Visayas)",93.38,91.99,94.88,95.65,94.46,96.92,95.50,94.65,96.41,95.83,95.34,96.36,95.79,95.48,96.12,95.43,95.18,95.70
"Elementary","..Region VII (Central Visayas)",95.48,94.24,96.80,98.23,97.05,99.49,98.25,97.40,99.16,97.36,96.64,98.12,96.75,95.97,97.59,96.02,95.26,96.84
"Elementary","..Region VIII (Eastern Visayas)",95.39,93.91,96.97,96.00,94.71,97.39,94.29,93.51,95.11,92.61,92.22,93.01,91.68,91.26,92.12,89.57,89.03,90.15
"Elementary","..Region IX (Zamboanga Peninsula)",94.34,92.83,95.94,97.26,96.03,98.57,94.25,93.29,95.27,90.50,89.75,91.30,92.15,91.55,92.78,90.23,89.57,90.94
"Elementary","..Region X (Nothern Mindanao)",92.73,91.57,93.97,94.62,93.74,95.55,92.97,92.70,93.26,91.00,90.56,91.46,90.25,89.83,90.70,89.68,89.22,90.16
"Elementary","..Region XI (Davao Region)",99.37,99.18,99.56,100.58,100.02,101.18,97.91,97.31,98.54,97.85,97.30,98.43,96.09,95.25,96.98,96.65,95.74,97.62
"Elementary","..Region XII (SOCCSKSARGEN)",88.65,86.84,90.58,90.44,88.81,92.18,88.29,86.93,89.73,87.16,85.93,88.47,88.22,87.04,89.48,87.72,86.72,88.78
"Elementary","..Region XIII (Caraga)",96.95,96.59,97.33,95.37,94.73,96.05,94.34,93.65,95.06,94.32,93.81,94.85,94.54,94.01,95.11,94.29,93.79,94.83
